Timestamp,Landmark Ground Truth,Image Name,Condition Category,Condition Label,Model,Predicted Place,Confidence,Time MS,Is Correct
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,google-gemini-25-flash,หอคอยไอเฟล,0.9199062543746478,10648,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,openai-gpt4o-mini,หอคอยไอเฟล,0.9199062543746478,9174,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,google-gemini-25-pro,หอคอยไอเฟล,0.9199062543746478,25028,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,google-gemma4-31b,หอคอยไอเฟล,0.9199062543746478,10083,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,openai-gpt4o,ปารีส,0.8382091266432125,13462,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,anthropic-claude-sonnet5,หอคอยไอเฟล,0.9199062543746478,37386,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,xai-grok4,หอคอยไอเฟล,0.9199062543746478,25161,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,amazon-nova-pro,Montmartre,0.8969934079644023,11939,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,mistral-medium,หอคอยไอเฟล,0.9199062543746478,9020,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,qwen-vl-32b,หอคอยไอเฟล,0.9199062543746478,14203,False
2026-08-21 12:03:58,images (5),images (5).jpg,Lighting,daytime,meta-llama4,ปารีส,0.8382091266432125,10319,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,google-gemini-25-flash,หอคอยไอเฟล,0.9233039610858825,10449,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,openai-gpt4o-mini,หอคอยไอเฟล,0.9233039610858825,11176,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,google-gemini-25-pro,หอคอยไอเฟล,0.9233039610858825,33403,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,google-gemma4-31b,หอคอยไอเฟล,0.9233039610858825,7113,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,openai-gpt4o,หอคอยไอเฟล,0.9233039610858825,13637,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,anthropic-claude-sonnet5,หอคอยไอเฟล,0.9233039610858825,33814,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,xai-grok4,หอคอยไอเฟล,0.9233039610858825,25892,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,amazon-nova-pro,หอคอยไอเฟล,0.9233039610858825,9505,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,mistral-medium,หอคอยไอเฟล,0.9233039610858825,9994,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,qwen-vl-32b,หอคอยไอเฟล,0.9233039610858825,9973,False
2026-08-21 12:03:58,images (5),images (37).jpg,Lighting,nighttime,meta-llama4,ปารีส,0.8233955810406657,8685,False
2026-08-21 12:13:05,images (5),images (5).jpg,Lighting,daytime,google-gemini-25-flash,หอคอยไอเฟล,0.9199062543746478,14789,True
2026-08-21 12:13:05,images (5),images (5).jpg,Lighting,daytime,google-gemini-25-pro,หอคอยไอเฟล,0.9199062543746478,35377,True
2026-08-21 12:13:05,images (5),images (5).jpg,Lighting,daytime,google-gemma4-31b,ทวีปยุโรป,0.9544166685133108,23527,False
2026-08-21 12:13:05,images (5),images (5).jpg,Lighting,daytime,openai-gpt4o,ปารีส,0.8382091266432125,12437,False
2026-08-21 12:13:05,images (5),images (37).jpg,Lighting,nighttime,google-gemini-25-flash,หอคอยไอเฟล,0.9233039610858825,13351,True
2026-08-21 12:13:05,images (5),images (37).jpg,Lighting,nighttime,google-gemini-25-pro,หอคอยไอเฟล,0.9233039610858825,29351,True
2026-08-21 12:13:05,images (5),images (37).jpg,Lighting,nighttime,google-gemma4-31b,หอคอยไอเฟล,0.9233039610858825,11708,True
2026-08-21 12:13:05,images (5),images (37).jpg,Lighting,nighttime,openai-gpt4o,หอคอยไอเฟล,0.9233039610858825,10148,True
2026-08-21 12:36:32,images (37),images (37).jpg,Lighting,nighttime,google-gemini-25-flash,หอคอยไอเฟล,0.9233039610858825,12908,True
2026-08-21 12:36:32,images (37),images (5).jpg,Lighting,daytime,google-gemini-25-flash,หอคอยไอเฟล,0.9199062543746478,12027,True
2026-08-21 14:28:09,images (5),images (5).jpg,Lighting,nighttime,google-gemini-25-flash,หอคอยไอเฟล,0.9199062543746478,11318,True
2026-08-21 14:28:09,images (5),images (37).jpg,Lighting,daytime,google-gemini-25-flash,หอคอยไอเฟล,0.9233039610858825,11743,True
